Location,Square_Feet,Lot_Size,Bedrooms,Bathrooms,Year_Built,Condition,Has_Basement,Price
Suburban,4351,29340,2,2,1945,Poor,Yes,923285.3
Rural,3831,24131,6,2,1978,Excellent,Yes,438277.36
Coastal,2144,18426,4,4,1998,Poor,Yes,944357.07
Coastal,2300,20851,2,2,1937,Excellent,No,723730.77
Rural,3669,29713,5,2,1954,Poor,No,523783.12
Suburban,3376,31875,2,2,1900,Excellent,Yes,280662.54
Coastal,1951,15410,6,2,1917,Excellent,Yes,107743.75
Downtown,4237,10397,3,2,1957,Good,No,188690.64
Urban,4870,37651,3,2,1935,Good,Yes,299577.89
Downtown,3553,16618,3,1,2003,Good,Yes,917301.33
Urban,1183,36838,1,4,2000,Excellent,No,413837.53
Rural,1542,41431,1,4,1916,Excellent,Yes,929802.85
Downtown,1894,31548,4,1,1914,Excellent,No,727354.65
Urban,4024,33141,5,4,1963,Excellent,Yes,138327.63
Downtown,3513,31997,1,1,2006,Good,No,318455.34
Downtown,1309,40211,4,4,1981,Poor,Yes,288149.29
Urban,3278,20038,2,2,1927,Poor,Yes,659699.62
Downtown,3869,25874,5,4,1958,Poor,No,915491.75
Rural,1009,41571,6,4,1901,Good,Yes,841142.52
Urban,2013,9078,3,1,1968,Excellent,No,246257.62
Downtown,3417,12223,4,4,1943,Excellent,Yes,884136.21
Rural,3909,44513,1,3,1982,Poor,Yes,660900.99
Rural,4566,35682,1,1,2003,Poor,Yes,706947.16
Suburban,2413,48984,1,3,2002,Excellent,No,913757.13
Suburban,1841,29560,1,3,2009,Poor,Yes,477544.16
Downtown,3385,5564,6,2,1987,Good,No,655607.91
Urban,1296,25645,3,1,1901,Poor,Yes,606681.83
Downtown,4700,4845,3,1,1966,Excellent,Yes,528785.06
Downtown,983,44078,5,3,2017,Excellent,Yes,659036.33
Coastal,4002,14273,6,3,1919,Good,No,623276.52
Urban,1090,35762,3,1,1999,Good,No,697416.53
Coastal,3771,49512,3,1,1900,Good,Yes,482248.79
Downtown,4586,4595,5,4,1982,Good,No,843025.75
Urban,2785,40533,6,4,2020,Good,Yes,881582.58
Urban,3872,19027,4,3,1938,Good,No,885493.39
Urban,3662,39532,5,2,1942,Poor,Yes,307506.13
Urban,3759,39307,3,1,1924,Poor,No,862518.74
Suburban,4038,31908,5,3,1933,Good,Yes,813111.38
Urban,2409,21733,1,3,1903,Excellent,No,967013.87
Downtown,998,29059,2,2,1955,Poor,Yes,467274.62
Coastal,2533,15785,1,3,1989,Excellent,No,528668.93
Coastal,1854,8077,1,4,1927,Good,Yes,406854.7
Coastal,1430,18848,1,4,1983,Poor,No,988833.58
